Field,LongName,Description,Missing_Value_Count
SD_SRAM_lablack20share,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, Black or African American population at 20 miles, share","Share of tract population that are Black or African American beyond 20 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_laasian20,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, Asian population at 20 miles, number","Asian population count beyond 20 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_laasian20share,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, Asian population at 20 miles, share","Share of tract population that are Asian beyond 20 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lanhopi20,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, Native Hawaiian and Other Pacific Islander population at 20 miles, number","Native Hawaiian or Other Pacific Islander population count beyond 20 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lanhopi20share,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, Native Hawaiian and Other Pacific Islander population at 20 miles, share","Share of tract population that are Native Hawaiian or Other Pacific Islander beyond 20 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_laaian20,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, American Indian and Alaska Native population at 20 miles, number","American Indian or Alaska Native population count beyond 20 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_laaian20share,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, American Indian and Alaska Native population at 20 miles, share","Share of tract population that are American Indian or Alaska Native beyond 20 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_laomultir20,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, Other/Multiple race population at 20 miles, number","Other/Multiple race population count beyond 20 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_laomultir20share,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, Other/Multiple race population at 20 miles, share","Share of tract population that are Other/Multiple race beyond 20 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lahisp20,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, Hispanic or Latino population at 20 miles, number","Hispanic or Latino ethnicity population count beyond 20 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lahisp20share,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, Hispanic or Latino population at 20 miles, share","Share of tract population that are of Hispanic or Latino ethnicity beyond 20 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lahunv20,"Straight-line Distance, SNAP-authorized Retailer Access Map, Vehicle access, housing units without and low access at 20 miles, number","Housing units without vehicle count beyond 20 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lahunv20share,"Straight-line Distance, SNAP-authorized Retailer Access Map, Vehicle access, housing units without and low access at 20 miles, share","Share of tract housing units that are without vehicle and beyond 20 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lasnap20,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, housing units receiving SNAP benefits at 20 miles, number","Housing units receiving SNAP benefits count beyond 20 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lasnap20share,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, housing units receiving SNAP benefits at 20 miles, share","Share of tract housing units receiving SNAP benefits count beyond 20 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_laveteran20,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, veterans of the U.S. Armed Forces at 20 miles, number","Veterans of the U.S. Armed Forces count beyond 20 miles from SNAP-authorized foodstore,calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_laveteran20share,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, veterans of the U.S. Armed Forces at 20 miles, share","Share of tract veterans of the U.S. Armed Forces count beyond 20 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
